kp,ki,kd
35.625,1.0,0.0
35.625,0.75,0.0
35.625,0.50,0.0
35.625,0.25,0.0
35.625,0.125,0.0
35.625,0.0625,0.0
35.625,0.0500,0.0
35.625,0.0375,0.0
35.625,0.0250,0.0
35.625,0.0125,0.0
35.625,0.00625,0.0
35.625,0.001,0.0
35.625,0.002,0.0
35.625,0.003,0.0
35.625,0.004,0.0
35.625,0.005,0.0
35.625,0.0,0.0
